 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"110050 Novo Horizonte do Oeste";8985,03;10795,35;20284,76;17933,76;22846,40;19851,98;13353,53;15340,61;11809,51;17046,04;13071,69;12771,39;14431,64;15614,86;11962,43;4451,02;5042,14;1822,16;5165,09;-;242579,39
"110015 Ouro Preto do Oeste";77485,53;99991,31;108986,67;138465,38;133713,20;102551,10;87815,50;40150,94;133852,65;65392,43;154758,06;77857,00;88703,32;77778,25;-;-;-;-;-;-;1387501,34
"110145 Parecis";318,69;448,30;773,09;1315,93;763,94;1309,83;1262,56;1003,34;504,72;407,13;362,91;2369,59;684,65;1073,48;675,50;312,59;224,15;533,69;584,01;-;14928,10
"110018 Pimenta Bueno";76662,41;82303,95;84568,44;80286,46;81696,32;85731,04;64735,99;65297,57;73015,89;75414,91;83313,76;78289,69;362228,25;97482,41;78740,80;53666,56;49001,83;44032,48;58678,55;72096,35;1747243,66
"110146 Pimenteiras do Oeste";2318,27;2433,40;3743,93;3750,31;3456,07;2772,62;2245,35;2747,17;2824,46;3046,30;3431,25;2417,66;44,22;847,03;1398,37;688,38;495,19;1500,00;-;-;40159,98
"110020 Porto Velho";6305441,43;5194050,50;5739501,51;6072174,61;5971972,62;4158570,03;6498427,71;6051595,74;5143430,37;6563770,19;6201642,30;4836814,69;5788929,02;4537846,53;5145804,58;4639879,83;4871051,05;6026278,95;8266988,16;7902535,13;115916704,95
"110025 Presidente Médici";33035,73;19784,60;23498,17;32165,34;33251,54;31847,18;34359,16;35507,79;42446,95;28766,44;50061,14;34753,09;20013,36;21715,98;38138,33;18885,00;17680,67;15850,98;16922,71;-;548684,16
"110026 Rio Crespo";214,98;320,59;577,91;560,74;702,55;349,92;585,91;453,25;176,88;467,35;590,84;375,86;608,01;509,25;627,06;287,42;276,37;276,37;221,10;-;8182,36
"110028 Rolim de Moura";123352,69;133293,09;129085,78;148355,61;142309,21;144289,41;136422,98;122510,92;145486,26;134846,75;153831,52;148081,60;123915,98;140498,90;127235,33;87754,46;91949,66;77799,93;120846,32;-;2431866,40
"110029 Santa Luzia D'Oeste";14834,10;16822,64;22129,80;21639,82;22746,67;25045,89;23090,19;18976,37;16799,52;19162,17;27151,20;19683,55;12592,07;16055,55;19426,73;12951,23;6588,87;8835,89;12477,11;13418,38;350427,75
