 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"260970 Orobó";3815,00;2913,94;5233,44;10353,54;6276,40;5187,38;7011,40;9335,77;5832,75;8823,36;6966,89;9996,61;9106,88;5076,47;6663,93;4206,32;4011,71;3807,50;7424,42;13218,15;135261,86
"260980 Orocó";4930,60;2968,36;5923,74;3764,64;3099,88;4394,46;4608,12;3432,49;4386,91;2660,40;2695,68;3060,86;4023,94;6848,12;5102,21;5587,57;4180,91;11693,20;6348,33;-;89710,42
"260990 Ouricuri";353335,34;324245,88;430983,92;414548,15;397830,88;378368,33;348736,99;369484,68;396098,04;345554,09;440533,07;378546,26;361489,72;351506,12;364048,64;340970,59;345802,84;346311,24;430229,74;372946,37;7491570,89
"261000 Palmares";1037312,66;893688,56;846747,50;964133,99;940586,84;861830,29;876522,53;829395,02;866666,01;809257,28;759929,02;780753,10;894366,90;825668,18;840829,71;826620,66;842515,89;961847,98;1179691,58;1339054,26;18177417,96
"261010 Palmeirina";2811,88;1797,38;1685,26;4356,50;1872,32;4558,28;4619,11;3371,20;4257,44;3986,60;2659,55;2281,78;3526,34;495,62;1755,83;1428,90;1798,15;487,62;1980,62;4660,56;54390,94
"261020 Panelas";5087,63;2855,84;3252,78;3247,03;2069,36;2835,73;3852,80;2856,11;5477,93;4021,82;1477,45;3552,52;3255,14;4819,30;6921,31;5546,11;4118,54;3583,84;5577,66;1793,23;76202,13
"261030 Paranatama";4331,63;6267,51;6193,06;10365,57;9000,56;5773,86;9823,98;9144,57;5847,94;4945,08;6974,56;5607,66;8690,48;6561,43;8390,95;3223,19;4753,60;9588,78;19226,68;6039,18;150750,27
"261040 Parnamirim";4813,03;4588,41;5362,34;7931,17;11072,12;10405,46;8254,26;7427,92;5779,43;7553,27;7855,14;8202,90;9834,05;9830,67;20176,09;7206,94;3433,71;3759,85;12070,59;12324,79;167882,14
"261050 Passira";2777,42;3628,97;1826,30;780,66;4728,16;3422,34;4958,25;923,92;1271,66;8071,92;2539,30;2768,23;3064,98;4305,46;3719,32;2334,28;5862,44;6446,50;21835,81;-;85265,92
"261060 Paudalho";15848,60;3095,60;7687,00;11297,20;10292,00;8708,20;11242,00;17440,40;5692,60;7703,00;11249,20;35758,31;33114,25;65900,37;43253,48;13710,20;14208,80;13187,60;33669,62;46654,60;409713,03
"261070 Paulista";1855660,52;1538004,29;1709984,27;1558209,36;1823901,79;1672354,07;1812789,61;1788381,00;1834575,41;1705574,63;1768784,13;1595678,08;1723880,27;1474869,71;1684306,93;1412765,19;2197356,56;2337992,98;1745468,89;1773609,15;35014146,84
"261080 Pedra";6763,47;4948,32;6046,05;6093,57;11277,27;5407,35;2035,44;9600,06;9181,31;840,57;1539,25;1522,80;2538,00;52,22;7644,99;6709,78;2564,66;2733,64;2763,11;2552,56;92814,42
"261090 Pesqueira";78720,07;109358,09;116998,88;89716,75;128571,23;100442,47;110296,40;82867,70;95746,90;102206,55;106648,41;84529,60;91251,41;87585,96;89738,96;54652,19;50235,71;59956,04;85648,69;77206,01;1802378,02
"261100 Petrolândia";186718,84;161526,43;162146,23;190237,97;154561,39;192047,68;210054,26;197136,53;159415,17;211314,14;205051,94;225709,48;222263,76;189538,40;172222,89;108516,38;48939,19;46757,31;-;-;3044157,99
"261110 Petrolina";1782308,89;1920252,10;1909842,97;2019153,23;1908920,50;1912667,51;2088738,05;1836522,95;2037593,95;1968897,02;1890009,84;2016498,86;2101878,34;1898898,42;1600779,08;1074775,79;2185610,16;1907351,48;2234272,60;2614948,79;38909920,53
"261120 Poção";814,09;364,62;336,84;451,40;598,42;791,25;354,60;286,90;198,57;446,78;383,44;308,62;-;-;-;-;-;-;451,40;274,68;6061,61
"261130 Pombos";8975,14;10395,39;19373,29;8758,75;14957,77;11265,74;16514,51;18342,83;17749,20;16918,73;11555,00;10445,29;2728,20;292,62;10216,70;13911,40;19500,00;13718,68;-;-;225619,24
"261150 Quipapá";701,62;943,62;1713,68;647,90;2190,82;2170,19;943,22;1804,00;995,41;2330,68;565,30;3172,00;2647,95;647,90;2804,04;443,40;1330,20;7955,26;12801,50;-;46808,69
"261160 Recife";46078995,63;43864872,09;43812727,47;43687854,49;49522974,23;46832376,12;49112152,23;48203402,87;48470864,17;52037099,39;49381233,14;45750209,32;48972958,83;45040776,07;46406000,70;32729937,71;37380009,74;41683368,20;49192536,32;47984591,69;916144940,41
"261170 Riacho das Almas";7558,65;6192,68;5077,03;6006,85;5120,19;8340,41;7522,45;9643,08;20741,73;13807,78;12002,79;10201,73;15688,91;8567,29;14012,04;12277,16;13402,23;15071,84;14842,28;-;206077,12
"261180 Ribeirão";2708,40;4062,60;3611,20;-;6771,00;1354,20;902,80;451,40;451,40;3619,20;2714,40;1354,20;904,80;2262,00;1357,20;3619,20;5891,28;3062,19;-;-;45097,47
"261200 Sairé";392,68;1167,45;2686,53;2153,03;1791,17;1497,80;1465,49;949,13;1346,59;1217,90;838,63;-;-;459,40;375,44;1508,00;-;-;-;-;17849,24
"261220 Salgueiro";587960,60;559107,09;555681,55;643866,55;631086,79;600895,65;630337,71;615148,75;629034,12;615120,68;559682,96;618966,74;585182,32;559839,69;582848,91;519670,31;568070,78;573567,82;731021,78;722246,33;12089337,13
"261230 Saloá";3849,32;3217,12;4766,46;1911,10;2375,09;3386,65;4781,40;6098,67;2902,74;2658,43;3304,82;2708,53;2945,81;3238,81;6750,80;2898,62;3772,92;7791,11;15055,23;13006,08;97419,71
"261240 Sanharó";932,53;10532,43;5593,92;6423,22;12129,67;3065,10;5989,36;4601,22;5008,27;1308,44;1903,53;1873,46;5724,50;1965,62;4196,09;2261,80;859,81;-;-;-;74368,97
"261245 Santa Cruz";6711,02;9261,43;7720,61;11011,15;20297,71;12163,41;17472,56;14254,57;18542,79;21060,38;13726,72;8298,82;12189,33;7577,07;16034,23;9200,15;6616,56;10728,28;11669,70;6235,47;240771,96
"261247 Santa Cruz da Baixa Verde";190,70;1621,73;1832,55;3233,15;5637,40;292,62;973,44;4064,32;-;-;-;-;-;-;-;-;-;-;-;-;17845,91
"261250 Santa Cruz do Capibaribe";29332,63;21758,79;28500,44;40813,79;27765,31;26174,42;25807,89;18172,24;27527,59;20406,11;27348,94;24643,25;27794,75;12759,91;16733,79;25989,85;18084,63;-;-;-;419614,33
"261255 Santa Filomena";2658,22;3589,55;3069,06;3063,21;5799,19;5937,13;3178,18;5132,68;4615,51;6246,73;3948,96;5572,65;5675,07;5427,21;6438,33;3623,14;2670,72;2809,37;-;-;79454,91
"261260 Santa Maria da Boa Vista";21212,85;13254,89;19224,66;26374,82;25338,83;16403,58;23759,81;15926,71;22102,35;12240,24;19545,81;14359,44;14006,46;10000,74;12975,72;-;-;-;-;-;266726,91
"261280 Santa Terezinha";1732,93;1448,32;1418,93;3892,58;1876,17;1365,91;3321,46;348,31;7681,44;1925,96;1634,97;2063,96;2686,01;1804,61;2782,41;2186,06;2747,23;3946,21;945,13;2545,35;48353,95
"261290 São Benedito do Sul";308,62;-;-;-;-;487,19;1021,97;902,80;451,40;520,87;229,67;266,68;340,90;1089,24;451,40;221,67;1501,22;-;-;-;7793,63
"261300 São Bento do Una";25501,51;29039,15;25269,52;25090,81;31334,96;39755,10;29973,63;32357,89;33880,02;24097,87;33192,68;26694,21;21175,68;27953,13;22434,03;21316,03;22664,98;91531,10;44784,64;104579,44;712626,38
"261310 São Caitano";14082,84;4849,33;11975,31;13971,93;14290,64;10082,82;23006,52;9224,98;7858,05;22358,26;25802,47;18595,18;12702,69;13093,06;8053,07;11814,65;15489,32;4392,80;10371,56;-;252015,48
"261320 São João";5478,85;5756,33;12629,28;16839,65;15749,81;21830,25;13011,13;21040,58;13903,50;6117,51;9675,58;10424,02;9146,09;5009,28;13686,92;4681,98;6629,54;4205,44;6016,54;6569,76;208402,04
"261330 São Joaquim do Monte";6276,54;6885,48;4825,98;5001,18;4604,86;7036,07;5212,10;3097,51;3843,48;2823,86;3917,82;5091,38;-;-;-;-;-;-;-;-;58616,26
"261350 São José do Belmonte";14065,58;17679,73;16631,97;12791,31;11001,66;23739,23;19777,02;23343,14;19778,77;8583,03;17421,01;21072,23;65488,69;15811,22;2628,43;13679,98;-;-;-;-;303493,00
"261360 São José do Egito";34671,60;23469,60;38880,88;42597,19;34732,10;31879,28;29220,48;37616,35;26152,63;39090,97;35396,25;28142,23;27938,21;26862,57;31551,75;21528,54;41100,18;-;-;-;550830,81
"261370 São Lourenço da Mata";274782,85;296162,89;257297,00;289565,30;272044,59;276239,48;232984,61;349838,05;293790,25;309806,08;279489,50;260723,12;266073,08;282555,70;293713,78;207498,43;184938,68;205425,77;189314,31;162359,30;5184602,77
"261380 São Vicente Ferrer";5889,78;1274,94;2559,87;436,49;10733,77;3951,75;8493,25;7442,90;4897,21;10255,81;8803,15;5110,19;9401,03;8802,98;5556,69;5165,62;4260,40;3536,08;692,66;-;107264,57
"261390 Serra Talhada";971798,51;846955,99;925989,63;1043204,31;982710,32;974763,11;934009,16;947758,86;911504,53;907386,04;920318,53;921550,19;939526,58;886478,58;893592,04;835444,93;923886,54;833437,78;991318,81;823098,91;18414733,35
"261400 Serrita";5972,10;6002,50;7520,35;3851,78;9019,14;8599,22;4415,29;7184,16;5767,66;7118,79;6946,62;6448,23;8159,56;13528,25;9536,30;5773,13;7386,32;4759,80;-;-;127989,20
"261410 Sertânia";13000,58;10428,35;27795,29;14426,58;39591,81;32695,74;28445,02;28099,30;23369,68;22007,36;5526,30;24309,94;22464,88;15983,20;16762,94;5173,69;11553,19;12612,58;23113,77;20252,34;397612,54
"261420 Sirinhaém";12417,21;22724,57;20085,45;15321,55;13051,65;19216,71;19057,63;17862,35;19041,07;21813,14;18633,27;9634,49;6200,13;12021,13;9110,62;6721,29;25186,80;25504,79;25079,40;7090,47;325773,72
"261440 Solidão";1164,84;324,90;340,90;478,78;470,78;1333,31;204,50;582,42;368,73;324,90;265,85;1107,74;126,54;693,16;507,47;1257,78;387,07;1738,07;3721,60;4769,18;20168,52
"261450 Surubim";157625,61;169095,89;191162,39;187174,52;218655,08;180375,52;167979,65;191291,90;169824,88;182272,50;163159,30;165011,93;162532,62;160010,00;156510,75;101015,88;94666,37;92339,61;127844,76;124523,27;3163072,43
"261460 Tabira";9850,22;10745,74;5618,29;14889,49;7902,12;8541,86;12156,88;8628,45;7889,90;6875,39;3944,98;3101,63;5592,08;4827,79;6383,13;5078,62;5396,25;12367,93;19213,43;23007,40;182011,58
"261480 Tacaratu";3390,99;11978,55;765,76;506,60;507,60;2036,40;3045,60;1613,78;1522,80;1219,77;2775,09;526,78;670,42;1357,38;2658,48;2961,32;3039,60;6082,20;3045,60;2537,00;52241,72
"261485 Tamandaré";14452,79;5697,91;7813,90;13197,59;12763,98;8104,41;6228,60;4928,62;9061,01;2885,71;1341,60;623,30;2417,88;2625,94;3282,42;2271,28;7946,35;8610,80;2338,50;2317,00;118909,59
"261500 Taquaritinga do Norte";5462,19;1132,91;4943,99;10338,47;5461,50;9380,21;7814,35;9201,70;9027,38;10193,68;13035,40;13436,03;7491,10;11305,78;13798,46;4473,78;2259,45;7852,00;22791,57;15699,89;185099,84
"261510 Terezinha";3940,46;5426,49;5217,73;5431,30;4990,32;8186,35;5405,51;7921,94;3463,47;5704,21;3979,79;4069,73;4524,95;5153,31;5703,30;3033,59;886,80;400,60;2587,56;-;86027,41
"261520 Terra Nova";5580,52;2105,68;987,02;5780,53;7899,37;3464,21;1478,98;6208,40;1514,12;1751,82;1703,38;661,50;877,26;6212,79;4317,04;2071,07;3795,34;3899,87;4311,13;6193,07;70813,10
"261530 Timbaúba";76041,79;102284,45;82256,96;89185,91;79364,75;92976,34;95454,45;85356,31;91880,91;75663,03;97786,03;72424,21;81475,32;99120,50;67542,98;73963,63;55298,44;46794,88;-;-;1464870,89
"261540 Toritama";11931,35;11567,31;13399,91;15462,94;21774,30;14331,87;11207,71;19144,79;12216,32;19411,33;18934,37;13623,95;10517,27;15136,16;16973,46;12886,13;10905,01;43976,38;90391,05;-;383791,61
"261560 Trindade";6091,29;8502,61;4859,36;22913,30;13348,60;7517,68;5178,11;6915,10;9887,38;24377,37;10740,41;8837,22;10284,00;10252,46;17467,92;16467,77;5969,32;7718,80;-;-;197328,70
"261570 Triunfo";4001,62;8139,13;6752,62;4263,46;8543,22;6775,19;5961,51;5159,09;5579,56;6755,51;6068,50;6919,58;7404,48;7759,35;4716,85;3881,23;2134,07;2733,24;11460,32;11382,18;126390,71
"261580 Tupanatinga";6651,72;4965,68;8605,44;5384,06;3686,39;2238,15;4998,23;3454,79;2993,30;2158,44;2354,76;2179,86;1773,60;994,89;2852,97;4987,62;6967,72;-;-;-;67247,62
"261590 Tuparetama";5446,55;3289,37;11702,49;12107,22;2532,09;18851,23;10513,57;10376,44;9357,38;7647,11;11354,49;6042,86;3843,08;9884,40;6318,86;4387,94;5547,06;6182,78;9318,75;16980,88;171684,55
"261600 Venturosa";7702,00;12616,86;12325,14;3146,34;6796,72;7183,90;8769,59;14463,08;6612,06;6854,09;3898,58;12809,70;8631,52;14587,44;8262,35;14018,03;6401,66;10554,40;9469,98;-;175103,44
"261610 Verdejante";914,87;1180,84;-;244,50;1399,30;361,68;353,68;1235,72;300,62;891,04;513,12;665,80;488,87;2953,74;1492,28;1882,21;1171,72;10137,56;2352,80;757,90;29298,25
"261620 Vertentes";31786,35;14679,07;41305,01;29196,80;54013,17;46901,97;48060,97;43689,06;37734,84;28358,38;34777,25;31670,86;-;-;-;14474,76;16329,25;20350,05;41668,46;44724,80;579721,05
"261630 Vicência";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3785,55;34590,20;18598,42;12000,00;-;68974,17
"261640 Vitória de Santo Antão";569793,39;487386,24;533781,11;574696,23;624670,76;526632,39;533925,41;543908,91;526690,60;598101,99;618257,28;518682,23;576791,83;510441,96;480483,36;369322,57;386031,29;295831,88;328106,79;572091,93;10175628,15
"261650 Xexéu";810,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;810,30
"270010 Água Branca";4574,29;4462,72;3633,95;8622,81;29387,57;15517,78;-;13728,99;6569,34;16784,79;12247,57;-;15391,32;4563,11;6133,96;2828,52;2756,15;994,03;8829,69;6399,91;163426,50
"270030 Arapiraca";3484855,50;3538818,90;3478465,68;3425982,11;3559127,40;3720462,28;3641542,49;3261413,05;3405392,84;3446337,65;3614175,99;3682090,97;3456522,98;3469241,09;3344930,91;3390610,26;3435902,32;3304381,94;4698231,96;4826049,45;72184535,77
"270040 Atalaia";10262,00;7179,40;9227,80;13442,60;12787,00;11832,80;10264,00;14372,80;15941,60;10246,00;7692,00;11777,80;13759,20;12335,40;14945,40;14887,40;12415,40;13967,20;9308,80;8791,20;235435,80
"270070 Batalha";40985,86;39643,41;40996,90;46929,46;55263,84;51513,79;46557,04;62152,85;44732,12;57982,21;66810,50;43100,98;47247,41;51611,38;50047,58;11445,14;15592,85;7709,47;12862,16;16873,58;810058,53
"270100 Boca da Mata";3587,98;2377,40;7816,18;3393,82;6994,63;5495,96;6313,32;6365,16;6056,00;4281,34;2771,16;3908,05;3081,02;6609,60;4211,61;1805,60;902,80;2257,00;-;-;78228,63
"270140 Campo Alegre";12934,28;9745,89;14182,78;13317,91;12570,83;17396,67;13171,21;13451,19;14483,58;15105,34;15028,95;12509,51;21593,13;7673,80;12570,12;25363,65;33431,96;134624,77;109845,52;39668,18;548669,27
"270170 Capela";10553,15;7331,92;13591,84;15103,91;2591,04;15861,33;15843,14;14791,93;15139,15;15703,64;14716,41;13835,48;15349,93;13017,98;6394,04;6690,92;6858,32;7428,26;9825,51;-;220627,90
"270210 Colônia Leopoldina";8613,14;3367,13;2865,17;5444,59;3972,00;3742,22;5381,04;3290,82;4965,40;4062,60;6771,00;5868,20;4965,40;8576,60;3611,20;2241,00;7673,80;2257,00;3611,20;4062,60;95342,11
"270230 Coruripe";702560,58;722462,59;723581,79;704801,88;778258,83;718736,31;734434,99;779149,90;779984,30;862407,29;817967,22;869780,28;811759,87;789157,12;807897,57;750724,00;1064658,96;1331479,40;1012418,60;903009,21;16665230,69
"270235 Craíbas";5320,80;443,40;6651,00;1330,20;3990,60;4434,00;6207,60;1773,60;2660,40;9311,40;3103,80;2660,40;2660,40;886,80;4877,40;4434,00;3103,80;2217,00;2660,40;4434,00;73161,00
"270240 Delmiro Gouveia";48791,69;49470,60;54926,88;42065,14;33749,01;24937,35;29573,59;28011,08;42064,32;51723,73;47997,14;34655,48;37884,03;41278,95;26808,46;29306,90;41979,80;30243,29;24675,02;25982,55;746125,01
"270280 Flexeiras";3852,49;3284,38;5074,63;5301,51;3342,07;8015,45;4062,37;3570,97;4107,50;3454,54;1616,07;4644,58;1540,73;2069,22;1572,57;324,90;1132,83;1375,02;890,18;1466,28;60698,29
"270300 Ibateguara";2660,40;3547,20;2217,00;1773,60;3547,20;3103,80;5320,80;3103,80;3547,20;4877,40;2217,00;2660,40;3103,80;1330,20;3103,80;3547,20;3103,80;1330,20;1330,20;886,80;56311,80
"270380 Joaquim Gomes";3497,08;9938,03;9195,47;18624,12;12390,52;9072,18;10861,91;7454,11;11989,11;8811,19;5504,67;7180,88;14670,27;10414,02;5544,53;7274,09;13847,76;3990,60;4434,00;-;174694,54
"270400 Junqueiro";14581,59;21818,15;13579,40;5098,23;20748,74;25709,25;12339,68;13802,25;22786,68;25531,90;13414,44;16115,76;9087,49;12038,24;10782,44;10807,44;10849,97;9457,45;6961,50;10652,00;286162,60
"270430 Maceió";9537197,86;10384323,03;10260278,80;9787574,60;10052824,79;10468189,33;11012427,88;10142351,13;10062901,99;10748766,90;9614380,35;9901147,59;9814503,63;9461073,84;9632282,52;9067761,83;8043276,70;8751538,84;10530299,13;12112140,98;199385241,72
"270450 Maragogi";5913,20;7252,40;10402,20;7267,40;8623,60;11776,40;9960,80;14053,40;9544,40;9980,80;10457,20;8145,20;5888,20;9524,40;11325,00;15347,60;18101,00;48077,00;21989,80;-;243630,00
"270470 Marechal Deodoro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15000,00;34500,00;22094,40;71594,40
"270500 Mata Grande";3522,14;12109,45;6669,38;4895,61;7153,78;5418,21;6408,04;8598,13;10302,94;7133,63;12337,91;17782,94;10628,25;4402,54;6821,00;-;-;-;-;-;124183,95
"270510 Matriz de Camaragibe";3107,18;3359,86;7670,29;3113,30;4944,20;3515,90;6855,07;5508,02;3873,98;3105,20;6903,65;443,40;21697,48;6124,56;5591,64;9227,11;26232,63;27377,40;13627,05;32607,90;194885,82
"270550 Murici";10872,60;10356,00;9314,80;6723,80;9667,60;13640,47;12162,68;8522,23;10966,22;9091,92;10450,34;8273,60;4579,58;5166,00;8782,20;7232,40;9238,36;5884,66;6033,40;5682,60;172641,46
"270630 Palmeira dos Índios";459673,49;573604,89;641699,67;641703,10;529085,21;648279,40;642388,72;637412,49;539074,72;479410,74;506980,58;541300,71;541167,86;394511,27;503660,34;218480,97;185236,82;163667,71;464265,80;235141,26;9546745,75
"270640 Pão de Açúcar";14907,42;12479,24;21640,74;19433,53;21137,63;19034,48;20531,33;24910,68;17511,94;16130,03;16314,27;8928,41;9896,78;14511,20;9774,80;14773,06;12227,86;9460,31;16994,27;58089,70;358687,68
"270660 Paulo Jacinto";-;1402,84;843,09;856,16;1093,38;1412,61;1859,57;2977,15;1506,68;1022,04;926,47;979,41;1218,61;612,66;907,32;479,19;-;-;-;-;18097,18
"270670 Penedo";149229,35;129552,97;211218,15;209017,42;198409,46;338877,44;186267,46;265524,50;250051,92;364631,23;249088,36;168102,89;368910,09;139423,75;281265,33;135691,81;106224,69;65845,67;-;-;3817332,49
"270680 Piaçabuçu";451,40;902,80;-;1354,20;2257,00;451,40;1354,20;902,80;451,40;1805,60;451,40;-;-;-;-;-;-;-;-;-;10382,20
"270690 Pilar";56935,37;61554,55;57051,87;106514,69;112187,67;91400,27;121580,16;85257,39;91308,31;110236,36;87052,16;91822,74;100615,95;81111,24;93754,07;40702,43;22130,31;12935,75;30504,08;45707,03;1500362,40
"270710 Piranhas";29841,89;16120,89;41296,87;25086,18;30423,97;31639,14;30531,52;28473,74;23100,24;34462,74;26259,96;19855,37;31036,40;29832,39;33468,31;15419,13;16810,50;15140,49;15797,61;13873,85;508471,19
"270730 Porto Calvo";18157,93;17034,64;20134,78;16312,38;25034,73;15686,26;22842,20;13205,32;12391,68;19199,29;17202,72;16291,06;16930,93;20224,24;19598,43;14242,24;24407,59;36670,98;29580,65;16248,94;391396,99
"270760 Quebrangulo";2388,95;3559,60;2258,78;1207,31;4598,78;4792,81;2230,26;1119,23;910,14;1055,97;2374,73;5228,30;3978,45;4554,90;4621,65;1649,00;617,52;25736,75;24108,24;29561,61;126552,98
"270770 Rio Largo";74159,79;18579,43;66393,02;70860,54;72247,66;46446,42;102796,06;-;61904,48;39394,25;117826,59;190075,52;157595,43;94341,97;86947,84;98428,82;58173,10;65099,29;64272,25;26471,99;1512014,45
"270800 Santana do Ipanema";424559,93;543589,08;644624,51;484910,82;535636,98;598348,51;710782,22;630766,01;622172,63;550430,67;492936,22;464892,50;534936,38;526703,27;359376,75;498241,51;496406,32;430504,69;489670,58;664131,97;10703621,55
"270830 São José da Laje";9404,03;6555,44;15029,77;15771,37;13516,86;8911,33;14317,72;20226,97;20424,93;16248,93;16364,62;8980,15;12411,21;9350,73;11133,22;10358,38;5996,42;27557,42;19181,79;21806,82;283548,11
"270840 São José da Tapera";14125,48;13663,07;16767,88;23278,72;20575,05;17635,40;15175,74;16849,38;16839,39;15457,28;12697,94;14128,31;18517,74;18814,30;13535,79;11528,40;10198,20;10198,20;8533,84;9086,05;297606,16
"270850 São Luís do Quitunde";11070,34;11292,84;14410,53;17526,26;19173,91;6764,85;12018,43;11728,79;11883,40;15904,14;10323,81;5558,16;11605,35;5465,93;12375,25;5764,20;14378,47;15159,49;12436,16;-;224840,31
"270860 São Miguel dos Campos";449707,51;591221,75;378519,53;493303,60;624846,80;617648,63;710233,74;560926,15;543028,87;543727,77;538982,93;549700,54;578551,90;397397,81;430241,17;413789,80;494305,71;520926,13;446048,20;377975,90;10261084,44
"270915 Teotônio Vilela";38017,03;23283,05;27902,03;26030,39;26049,36;33157,06;31922,76;32358,60;30327,22;21711,83;32566,55;48014,10;26243,33;11646,24;19202,79;31751,01;47373,55;107152,16;42368,93;48098,52;705176,51
"270920 Traipu";-;-;1773,60;886,80;2217,00;2217,00;1330,20;1773,60;1773,60;2217,00;-;-;1330,20;443,40;443,40;2217,00;1330,20;-;-;-;19953,00
"270930 União dos Palmares";162639,79;175544,56;160645,58;159600,92;155850,01;160785,63;158970,61;154175,88;170663,18;167939,90;170513,56;158810,24;163402,34;171518,31;146774,82;153157,84;151252,07;173641,14;163007,22;173780,35;3252673,95
"270940 Viçosa";25102,98;23243,14;25271,37;24053,98;23685,95;20871,38;23108,84;21465,97;20464,77;24386,12;25331,32;14785,04;18495,37;19335,12;18493,79;20002,46;11082,62;19807,61;12577,10;13966,15;405531,08
"280020 Aquidabã";28955,02;26901,85;26437,33;29511,42;29102,83;28303,16;29486,46;26727,02;28278,12;31186,91;29955,52;32909,31;30171,62;33578,83;31626,59;30012,27;28535,88;27560,16;38640,95;31566,86;599448,11
"280030 Aracaju";8357546,25;8280863,77;8601981,60;8692725,94;9280836,52;8048224,15;8597028,17;8321954,71;8733694,08;9128365,92;7787695,81;7130546,39;8073860,32;7833876,24;6420033,00;7372933,87;6767361,19;6819761,67;8919500,83;9098676,48;162267466,91
"280130 Capela";56324,33;36782,10;53370,68;67342,21;88758,27;56331,45;46023,95;66559,95;82922,08;58644,72;71820,91;59127,24;57702,56;52571,03;56391,67;32264,33;34152,64;32514,81;20510,02;24330,21;1054445,16
"280210 Estância";227283,30;146032,75;125092,55;213601,18;133944,86;170491,10;150002,59;140214,84;138728,82;83206,97;208728,75;211065,51;286209,01;210870,50;219374,81;208866,74;183341,65;243180,01;244940,40;325871,41;3871047,75
"280290 Itabaiana";329855,91;344396,13;322334,59;391946,56;430912,50;410481,11;385734,53;371378,12;361440,83;317728,30;389377,86;302257,95;448928,89;482533,99;373159,81;343040,49;372738,80;313861,80;349144,31;405541,40;7446793,88
"280340 Japoatã";28542,71;30995,43;28519,48;-;53584,09;34002,06;27538,98;30998,23;26419,24;28489,13;33309,93;25700,23;-;35947,13;31455,53;-;-;-;-;-;415502,17
"280350 Lagarto";482436,33;371721,78;260182,55;394582,80;585858,08;361547,05;394626,29;432849,36;356636,36;364238,71;342685,41;371574,22;422817,02;379181,14;416189,43;200300,60;270758,69;269064,19;231435,51;701400,09;7610085,61
"280450 Nossa Senhora da Glória";42758,90;39027,00;27817,66;58879,02;60063,82;94600,20;81238,12;30930,64;80466,95;80372,86;88109,20;36251,73;78268,65;42862,33;41477,70;41344,20;50904,54;47269,63;68137,97;107793,93;1198575,05
"280480 Nossa Senhora do Socorro";139303,28;112609,47;115087,15;124653,68;171654,62;-;-;-;20545,75;220828,57;58607,63;131908,70;122667,75;82152,22;226112,84;147893,25;116087,82;127468,11;208477,85;121076,35;2247135,04
"280570 Propriá";117818,63;129509,41;127643,79;145825,96;120121,65;132955,73;155107,99;149457,05;122336,41;88169,67;128372,46;95400,41;113707,51;116265,14;221371,64;184684,84;181897,88;155223,77;209338,84;167195,58;2862404,36
"280590 Riachuelo";39023,22;37822,73;37215,02;44182,53;40913,47;43121,76;44786,90;36630,94;42450,99;43972,08;42007,09;43875,50;39206,31;37094,26;38325,47;15917,62;11357,63;10690,26;6795,61;6178,94;661568,33
"280670 São Cristóvão";20915,58;21051,17;20123,43;20658,97;18655,07;17394,75;19884,06;20483,17;17159,24;18822,55;18782,56;22794,53;17701,79;18698,82;17947,02;11896,70;9792,59;11340,69;16340,27;24549,64;364992,60
"290020 Abaré";13812,79;7180,87;5807,03;14498,56;18152,76;14562,46;18212,94;16462,63;18492,14;14395,52;13189,68;10852,71;10016,79;12308,47;16782,97;16873,82;12573,78;16037,85;10040,81;10932,35;271186,93
"290040 Água Fria";8148,08;2993,66;7356,15;5362,38;8852,02;4266,97;8624,62;6432,52;10066,62;4113,93;4459,23;4707,62;5653,18;5223,96;7008,50;6352,07;5844,08;1100,56;11133,15;3643,80;121343,10
"290070 Alagoinhas";514380,44;290624,09;716403,02;458644,33;480345,30;592362,77;531405,21;515683,15;522250,44;529601,05;612688,00;279293,48;145777,37;467759,20;380992,68;248977,45;323685,98;376617,61;377220,67;374735,93;8739448,17
"290080 Alcobaça";60814,85;59232,97;51572,56;47759,50;42559,39;41558,67;50568,85;42712,71;39990,93;57358,25;50639,01;46034,43;47470,93;41566,54;41918,01;24400,81;19769,07;16224,14;14505,62;20485,05;817142,29
"290100 Amargosa";46610,58;34371,48;35472,13;50378,31;48760,56;33636,26;47717,97;60901,85;40302,84;55410,22;27493,32;52669,23;32671,95;22253,68;45521,24;23282,59;21153,17;30561,15;31660,34;26091,61;766920,48
"290110 Amélia Rodrigues";15565,25;11554,01;-;8685,42;6320,91;9256,67;9687,52;15181,47;9565,04;12099,19;8100,81;3348,71;10983,59;9018,60;8250,93;4599,15;1367,26;13374,92;5212,54;6187,37;168359,36
