ibge7;Município;2018
3100104;Abadia dos Dourados;1466,19
3100203;Abaeté;1624,45
3100302;Abre Campo;1452,40
3100401;Acaiaca;1488,66
3100500;Açucena;1356,97
3100609;Água Boa;1346,36
3100708;Água Comprida;2163,58
3100807;Aguanil;1640,08
3100906;Águas Formosas;1653,98
3101003;Águas Vermelhas;1402,08
3101102;Aimorés;1672,27
3101201;Aiuruoca;1732,37
3101300;Alagoa;1742,55
3101409;Albertina;1825,14
3101508;Além Paraíba;1703,05
3101607;Alfenas;2504,25
3101631;Alfredo Vasconcelos;1496,13
3101706;Almenara;1639,24
3101805;Alpercata;1444,13
3101904;Alpinópolis;1727,21
3102001;Alterosa;1516,59
3102050;Alto Caparaó;1580,61
3153509;Alto Jequitibá;1602,50
3102100;Alto Rio Doce;1466,47
3102209;Alvarenga;1442,16
3102308;Alvinópolis;1727,19
3102407;Alvorada de Minas;1607,58
3102506;Amparo da Serra;1447,01
3102605;Andradas;1828,68
3102803;Andrelândia;1465,24
3102852;Angelândia;1507,92
3102902;Antônio Carlos;1563,52
3103009;Antônio Dias;1967,08
3103108;Antônio Prado de Minas;1872,52
3103207;Araçaí;1516,25
3103306;Aracitaba;1559,47
3103405;Araçuaí;1612,30
3103504;Araguari;2066,77
3103603;Arantina;1324,19
3103702;Araponga;1674,44
3103751;Araporã;2778,84
3103801;Arapuá;1864,51
3103900;Araújos;1515,53
3104007;Araxá;2371,96
3104106;Arceburgo;2076,96
3104205;Arcos;2081,58
3104304;Areado;1646,43
3104403;Argirita;1523,83
3104452;Aricanduva;1436,32
3104502;Arinos;1580,53
3104601;Astolfo Dutra;1319,85
3104700;Ataléia;1640,73
3104809;Augusto de Lima;1529,74
3104908;Baependi;1574,85
3105004;Baldim;1750,23
3105103;Bambuí;1991,08
3105202;Bandeira;1436,94
3105301;Bandeira do Sul;1530,71
3105400;Barão de Cocais;2151,56
3105509;Barão do Monte Alto;1370,90
3105608;Barbacena;2079,41
3105707;Barra Longa;1580,97
3105905;Barroso;1752,49
3106002;Bela Vista de Minas;2257,29
3106101;Belmiro Braga;1650,63
3106200;Belo Horizonte;3592,25
3106309;Belo Oriente;2675,31
3106408;Belo Vale;1794,81
3106507;Berilo;1472,31
3106655;Berizal;1324,83
3106606;Bertópolis;1415,57
3106705;Betim;3042,03
3106804;Bias Fortes;1532,21
3106903;Bicas;1260,62
3107000;Biquinhas;1615,87
3107109;Boa Esperança;1618,33
3107208;Bocaina de Minas;1430,82
3107307;Bocaiúva;1594,79
3107406;Bom Despacho;1721,07
3107505;Bom Jardim de Minas;1529,47
3107604;Bom Jesus da Penha;1759,98
3107703;Bom Jesus do Amparo;1410,66
3107802;Bom Jesus do Galho;1464,35
3107901;Bom Repouso;1612,04
3108008;Bom Sucesso;1580,97
3108107;Bonfim;1492,63
3108206;Bonfinópolis de Minas;1823,03
3108255;Bonito de Minas;1538,38
3108305;Borda da Mata;1658,16
3108404;Botelhos;1557,00
3108503;Botumirim;1297,01
3108701;Brás Pires;1275,17
3108552;Brasilândia de Minas;1793,73
3108602;Brasília de Minas;1652,57
3108800;Braúnas;2049,83
3108909;Brazópolis;1545,43
3109006;Brumadinho;2239,86
3109105;Bueno Brandão;1771,12
3109204;Buenópolis;1490,09
3109253;Bugre;1310,19
3109303;Buritis;1997,68
3109402;Buritizeiro;1620,14
3109451;Cabeceira Grande;2098,05
3109501;Cabo Verde;1571,47
3109600;Cachoeira da Prata;1459,25
3109709;Cachoeira de Minas;1693,75
3102704;Cachoeira de Pajeú;1502,94
3109808;Cachoeira Dourada;2345,09
3109907;Caetanópolis;1550,73
3110004;Caeté;1858,06
3110103;Caiana;1454,01
3110202;Cajuri;1396,58
3110301;Caldas;2366,76
3110400;Camacho;1884,62
3110509;Camanducaia;1889,06
3110608;Cambuí;1837,24
3110707;Cambuquira;1344,83
3110806;Campanário;1413,55
3110905;Campanha;1555,11
3111002;Campestre;1577,15
3111101;Campina Verde;1753,95
3111150;Campo Azul;1451,99
3111200;Campo Belo;1522,34
3111309;Campo do Meio;1466,40
3111408;Campo Florido;2367,99
3111507;Campos Altos;1654,97
3111606;Campos Gerais;1528,67
3111903;Cana Verde;1473,01
3111705;Canaã;1336,73
3111804;Canápolis;1662,64
3112000;Candeias;1531,80
3112059;Cantagalo;1477,09
3112109;Caparaó;1406,56
3112208;Capela Nova;1534,85
3112307;Capelinha;1576,87
3112406;Capetinga;1441,57
3112505;Capim Branco;1439,07
3112604;Capinópolis;1637,22
3112653;Capitão Andrade;1350,29
3112703;Capitão Enéas;1585,43
3112802;Capitólio;1692,52
3112901;Caputira;1232,06
3113008;Caraí;1564,63
3113107;Caranaíba;1653,97
3113206;Carandaí;1633,21
3113305;Carangola;1593,34
3113404;Caratinga;1719,60
3113503;Carbonita;1372,76
3113602;Careaçu;1573,48
3113701;Carlos Chagas;1589,79
3113800;Carmésia;1565,45
3113909;Carmo da Cachoeira;1267,56
3114006;Carmo da Mata;1691,65
3114105;Carmo de Minas;1518,40
3114204;Carmo do Cajuru;1914,02
3114303;Carmo do Paranaíba;1951,98
3114402;Carmo do Rio Claro;1596,38
3114501;Carmópolis de Minas;1662,37
3114550;Carneirinho;2212,73
3114600;Carrancas;1625,87
3114709;Carvalhópolis;1765,96
3114808;Carvalhos;1740,07
3114907;Casa Grande;1581,66
3115003;Cascalho Rico;1546,37
3115102;Cássia;1722,63
3115300;Cataguases;1930,63
3115359;Catas Altas;2196,38
3115409;Catas Altas da Noruega;824,32
3115458;Catuji;1480,66
3115474;Catuti;1432,03
